source_spanish,reference_english,seq2seq_beam_pred,seq2seq_greedy_pred,transformer_beam_pred,transformer_greedy_pred
solo tom sabe .,only tom knows .,just tom knows .,just can knows .,tom knows just .,tom knows just .
el próximo verano quiero ir a hawái .,next summer i want to go to hawaii .,next person i want to go to hawaii .,next person i want to go to hawaii .,i want to go to hawaii next summer .,i want to go to hawaii next summer .
empezó a quedarse calvo siendo bastante joven .,he started going bald quite young .,it ll be able to be very young .,it began to be rather difficult .,it started to be rather stay for years .,it started to be rather stay for years .
no quiero que todos en internet sean capaces de acceder a mis fotos .,i don t want everybody on the web to be able to access my photos .,i don t want you in a they re trying to get pictures of my ability .,unless i don sober not everyone in no they re to wear .,i don t want to take care of my opinion .,i don t want to take care of my orders .
él entró en su habitación .,he entered his room .,he went into his room .,he went into his room .,he entered in his room .,he entered in his room .
a partir de aquí iremos en vehículo .,from this point we ll go on by car .,from out we ll have to live in .,from some go out in my car .,we re going to be here in the hurry .,we re going to be here in the hurry .
anoche tuvimos una fiesta .,we had a party last night .,last night i had a party .,last night i had a party .,we had a party last night .,last night we had a party .
muchos profesores tienen problemas con tom .,many teachers have a problem with tom .,many teachers have problems problems to tom .,many teachers are problems problems to tom .,tom has a lot of problems with lots .,tom has a lot of problems with lots .
estás delgado .,you re skinny .,you re tried .,you re able .,you re a mistake .,you re a mistake .
casi había terminado mi trabajo cuando llegó .,i had almost finished my work when she came .,i had just finished my work when he came .,i had just finished my my came when it came .,when i had finished my work .,when i got up i was my work .
haré que venga a ayudarme .,i will get him to come and help me .,i ll do that to help me .,i ll do that to help me .,i ll do it to help me .,i ll do it for me .
dime por qué llora .,tell me why she is crying .,tell me what they were right .,tell me what they were right .,tell me why i get out .,tell me why i get out .
quisiera hacer una solicitud .,i would like to make a request .,i d like to do an apple .,i d like to do a new .,i d like to make a friend .,i d like to make a friend .
tom se inclinó .,tom bowed .,tom bowed .,tom bowed .,tom bowed .,tom bowed .
él tiene derecho a un mejor tratamiento .,he is entitled to better treatment .,he is right in a better man .,he is the little girl is .,he has a better time .,he has a better time .
¿ anoche escuchaste música ?,did you listen to music last night ?,do you know a music last night ?,do you know a music last night ?,did you watch tv last night ?,did you watch tv last night ?
él se casó a los veintidós .,he got married at .,he married to the tigers .,he married to the tigers .,he got married .,he married .
estamos teniendo un problema con las palomas .,we re having a problem with pigeons .,we re having a problem with .,we re having a problem with .,we re having a rough .,we re having a rough .
