source_spanish,reference_english,seq2seq_beam_pred,seq2seq_greedy_pred,transformer_beam_pred,transformer_greedy_pred
tom no soporta el olor del humo de cigarro .,tom can t stand the smell of cigarette smoke .,tom can t the the suspect of the cigarette .,tom can t swim the suspect of the cigarette .,tom pulled the smell of the smell .,tom pulled the smell of the smell .
cómete tu comida .,eat your food .,write your food .,write your food .,eat your food .,eat your food .
no sabía que él bebiera tanto .,i didn t know he drank so much .,i didn t know that he would be so angry .,i didn t know that he would be so angry .,he didn t know so much .,i didn t know he could not come so much .
ella tiene flores en la mano .,she has flowers in her hand .,she has flowers in her hand .,she has flowers in her hand .,she has flowers in the flowers .,she has flowers in the flowers .
él usó su mano para proteger sus ojos de la luz del sol .,he used his hand to screen the sunlight from his eyes .,he used his hand to his his his the the sun .,he used his hand to his his his his the sun .,he used his hand to support the sun .,he used his hand to support his hand for the speed .
la hicieron esperar más de una hora .,she was made to wait for over an hour .,the made kept more an hour .,the made kept more an hour .,they kept waiting for an hour .,they made a half of time .
le dije que fuera mejor sola .,i suggested that she go alone .,i told him to be better alone .,i told him to pay better .,i told him to go alone .,i told him to go alone .
tomás trató de parar la pelea entre maría y juan .,tom tried to break up the fight between mary and john .,tom tried to stop mary between mary and john .,tom tried to stop mary between mary and john .,tom tried to stop mary and john .,tom tried to stop mary and john .
te vi llorar .,i saw you crying .,i saw you crying .,i saw you crying .,i saw you cry .,i saw you cry .
yo nunca me sentí de esta manera antes de conocerte .,i never felt this way before i met you .,i ve never felt this this before i met you .,i ve never felt this this before you you .,i never felt this way before i met her .,i never felt this way before i met her .
era una historia verdadera .,it was a true story .,it was a true story .,it was a true story .,it was a true story .,it was a true story .
¿ qué documentos necesitamos nosotros archivar ?,what forms do we need to file ?,what did you do for us ?,what did you do for us ?,what forms were we looking for us ?,what forms were we looking for us ?
todavía eres demasiado joven para tener carnet de conducir .,you re still too young to get a driver s license .,you still still too young to be your driver s license .,you still still too young to be your driver .,you re still too young to drive .,you re still too young to drive .
