source_spanish,reference_english,seq2seq_beam_pred,seq2seq_greedy_pred,transformer_beam_pred,transformer_greedy_pred
añadió un poco de azúcar al café .,he added a little sugar to the coffee .,we took a sugar of coffee coffee .,we took a little sugar of coffee .,i have some sugar in the coffee .,i have some coffee .
algunas personas comen el sushi con las manos .,some people eat sushi with their hands .,some people people use the hands .,some people people the the with .,some people eat the together .,some people eat the together .
¿ quién inventó el teléfono ?,who was the telephone invented by ?,who invented the telephone ?,who invented the telephone ?,who made the phone ?,who made the phone ?
vámonos a dar un paseo .,let s go out for a walk .,let s go for a walk .,let s take a walk .,let s go out for a walk .,let s go out for a walk .
él mató a ese hombre .,he killed that man .,he killed that man .,he killed that man .,he killed that man .,he killed that man .
él se está llevando bien con sus empleados .,he is getting along with his employees .,he is getting along with his employees .,he is getting along with his employees .,he is having fun with his employees .,he is getting along with his employees .
espero que este caballo no patee .,i hope this horse doesn t kick .,i hope this horse don t change .,i hope this horse not not to .,i hope this horse .,i hope this horse .
son chicos .,they re boys .,they re boys .,they re boys .,they re boys .,they re boys .
mary le pidió a su hijo que se portara bien .,mary asked her son to behave himself .,mary asked her son she d be a good time .,mary asked her son she d be a good time .,tom asked mary to marry her son .,mary asked her son to marry her son .
lo vi en el parque .,i saw him in the park .,i saw him in the park .,i saw him in the park .,i saw him in the park .,i saw him in the park .
aprendí mucho .,i learned a lot .,i learned a lot .,i learned a lot .,i learned a lot .,i learned a lot .
tom parece estar enojado .,tom looks angry .,tom seems to be angry .,tom seems to be angry .,tom seems to be angry .,tom seems to be angry .
ningún hombre podría hacerlo .,no one man could do it .,no one man could do it .,no one could possibly to do it .,a man could do it .,i could do it .
un archivo mp es un archivo de audio .,an mp file is an audio file .,a fool to is is a secret .,a fool to is a a secret s ticket .,it s a policeman in the file .,it s a quarter for a file .
tom y mary ambos trabajan para mí .,tom and mary both work for me .,tom and mary both work for me .,tom and mary both wearing to me .,tom and mary both present for me .,tom and mary both present for me .
yo comúnmente no miento .,i don t normally lie .,i didn t eat it .,i don t eat it .,i don t smoke .,i don t smoke .
tengo derecho a ganarme la vida .,i have a right to make a living .,i have a walk to life life .,i have to to a life life .,i have life insurance .,i have a right to the life .
ven aquí a más tardar a las diez .,come here by ten at the latest .,come here to come back at ten .,come here here in ten o ten .,come and come to pick me up at ten o clock .,come and come on the little earlier .
va a pasar algo . puedo sentirlo .,something s going to happen . i can feel it .,he is going something .,he goes going to pass . you can get you .,i can happen .,i can happen to happen .
tom limpió el armario en su dormitorio .,tom cleaned out his bedroom closet .,tom cleaned the closet on his room .,tom cleaned the closet on his room .,tom cleaned his closet in the room .,tom cleaned his closet in the bedroom in the bedroom .
la pelota está inflada .,the balloon is filled with air .,the ball is a .,the ball is a .,the ball is .,the ball is .
dame tu sándwich .,give me your sandwich .,give me your present .,give me your present .,give me your sandwich .,give me your sandwich .
vamos a luchar .,we ll fight .,let s fight .,let s fight .,we ll fight .,we re sleeping .
mejor hubiera ido al concierto anoche .,i d rather have gone to the concert last night .,i had been there to the concert last night .,i had been there to the concert last night .,last night we had had had to go to the concert .,last night i had had had had been to the concert .
¿ a quién creen que engañan ?,who do they think they re kidding ?,who do you think you will ?,who did you think you will ?,who do you intend ?,who do you think i d visit ?
ellos tendrían que moverse rápido .,they would have to move fast .,they had to study it .,they had to study .,they need to share .,they ll share .
tom le dijo a mary que no lo esperara porque no llegaría a casa hasta muy tarde .,tom told mary not to wait up because he wouldn t be home until very late .,tom told mary not to tell him because he didn t want to be very late .,tom told mary not to explain it because he didn t want to be very late .,tom told mary not to wait until late .,tom told mary not to be very late because she didn t go home so late .
a tom le gusta el espagueti .,tom likes spaghetti .,tom likes the . .,tom likes the . .,tom likes the next .,tom likes the next .
nadie me ha matado aún .,nobody s killed me yet .,nobody has been still yet .,nobody has been still yet .,nobody has killed me .,nobody has killed me .
pensé que tú estabas a cargo .,i thought you were in charge .,i thought you were in charge .,i thought you were at charge .,i thought you were in charge .,i thought you were in charge .
es peligroso ir en moto sin casco .,it is dangerous to ride a motorbike without a helmet .,it is dangerous to go in the without without .,it is dangerous to go in the without without .,it s dangerous to go out without a helmet .,it s dangerous to go out in a helmet .
él la mantuvo cerca .,he held her close .,he kept the nearby .,he kept the nearby .,he kept the fence .,he held his close .
el niño volvió .,the boy came back .,the boy returned .,the boy returned .,the boy came back .,the boy came back .
tom solo toma café .,tom only drinks coffee .,tom uses his coffee .,tom uses his coffee .,tom kept coffee .,tom only takes a coffee .
si vas al cine llévate a tu hermana .,if you go to the movies take your sister with you .,if you are going to the the to to your your sister .,if you go to the the to to the to your sister .,if you go to the movies your sister .,if you ll go to the movies to the movies .
había algunos niños en el cuarto .,there were a few children in the room .,there were some children in the room room .,there were some children in the room room .,there were some children in the room .,there were some children in the room .
los soldados marcharon al frente .,the soldiers left for the front .,the soldiers were to front .,the soldiers were to front .,the soldiers fought fiercely .,the soldiers were equipped .
tomás no quiere que sus padres se enteren .,tom doesn t want his parents to find out .,tom doesn t want you to his parents .,tom doesn t want his parents to get each other .,tom doesn t want his parents to gather .,tom wants his parents not to come back .
todavía tengo muchas preguntas que quiero hacerte .,i still have a lot of questions i want to ask you .,i still have a lot of questions i want to ask questions .,i still have a lot of questions i want to ask questions .,i still have a lot of questions i want to ask you to ask you some questions .,i still have a lot of questions i want to ask you to ask you to ask you some questions .
llevo puestas gafas de sol .,i m wearing sunglasses .,i ve been to the sun .,i ve been to sunglasses for the sun .,i ve take care of the sun .,i ve been cut off .
ella iba bajando por las escaleras .,she was coming down the stairs .,she was all by the stairs .,she was all by the stairs .,she was going down the stairs .,she was going up by the stairs .
me dejaré ese libro para mí .,i ll keep that book for myself .,i m going that book for me .,i m going that book for me .,i ll get that book for me .,i ll get that book for me .
es difícil hablar con él .,it s difficult to speak with him .,it is difficult to talk to him .,it is difficult to talk to him .,he s hard to speak with him .,he is hard to speak with him .
voy a echarme la siesta .,i m going to take a nap .,i m going to the table .,i m going to the .,i m going to clean the nap .,i m going to the nap .
la vida en el campo es más saludable que en la ciudad .,country life is healthier than city life .,life life is superior the most highly in town city .,life life in the is the most city in town .,life is more than country in the country .,life is more than country in the country .
cuando mi hermano era pequeño solía llevarle al parque a menudo .,when my brother was young i often used to take him to the park .,when my brother was my little used to to the park to the park .,when my brother was a small i used to to the park .,my brother used to go to the park when i used to the park .,my brother used to go to the park when i was a small .
no hacen más que llorar .,they do nothing but cry .,you do not more crying crying .,you don t do that cry .,don t make it anymore .,don t cry you cry .
él tiene miedo de nadar .,he is afraid to swim .,he is afraid of swimming .,he is afraid of swimming .,he is afraid of swimming .,he is afraid of swimming .
éstos son buenos .,these are good .,these are good .,these are good .,these are good .,these good are expected .
usted está bajo arresto .,you are under arrest .,you are under arrest .,you are under arrest .,you re under arrest .,you re under arrest .
no os entiendo .,i don t understand you .,i don t understand .,i don t understand .,i don t understand you .,i don t understand you .
nací y crecí en tokio .,i was born and brought up in tokyo .,i was born and in tokyo .,i was born and in tokyo .,i was born in tokyo and born .,i was born in tokyo and born .
no les gusto a tus estudiantes .,your students don t like me .,don t love your students .,don t love your students .,don t like your students .,don t like your students .
¿ adónde te crees que se va todo el dinero ?,where do you think all the money goes ?,where do you think he s get all the money ?,where do you think you s all the money ?,where do you think you re going ?,where do you think you ll take everything ?
lo que quiero ahora es una taza de café caliente .,what i want now is a hot cup of coffee .,what i want is now a cup of hot .,what i want is now a cup of hot .,i want a cup of coffee is now .,i want a cup of coffee is now that i want to drink .
mi tía lleva gafas cuando lee los documentos .,my aunt wears glasses when she reads the papers .,my aunt is wearing sunglasses when the papers .,my aunt is wearing sunglasses when the papers .,my aunt goes able to wear glasses .,my aunt keeps tired when my aunt comes he is making fun .
vivo en kazajistán .,i live in kazakhstan .,i live in a .,i live in a .,i live in kakogawa .,i live in kakogawa .
erigieron una estatua en memoria de gandhi .,they erected a statue in memory of gandhi .,i d like an operation on a bus .,i d a an hour on a bus .,a memory of scissors .,a memory of scissors in white .
¿ amigo de quién eres ?,whose friend are you ?,does he come from you ?,does he come from you ?,who are you friends ?,who are you ?
tienes las manos aguadas .,you have butterfingers .,you have butterfingers me .,you have butterfingers .,you have butterfingers .,you have butterfingers .
tu eres un especialito ¿ eh ?,you re picky aren t you ?,your are a beautiful shall ?,your are a beautiful shall ?,are you a sandwich ?,are you a sandwich ?
él no dijo nada nuevo .,he didn t say anything new .,he didn t say anything new .,he didn t say anything new .,he didn t say anything again .,he did nothing new .
tom no cree en la vida después de la muerte .,tom doesn t believe in life after death .,tom doesn t believe in life after his death .,tom doesn t believe in life after he death .,tom doesn t think after death .,tom doesn t think after death in the after death .
no puedo oír lo que ellas dicen .,i can t hear what they re saying .,i can t hear what they say .,i can t hear what they say .,i can t hear what they say .,they say i can t hear him .
todos me preguntan eso siempre .,everyone always asks me that .,i ve asked me that always it .,i ve asked me that always it .,all the time me .,everybody always me .
