source_spanish,reference_english,seq2seq_beam_pred,seq2seq_greedy_pred,transformer_beam_pred,transformer_greedy_pred
tom parece estar enojado .,tom looks angry .,tom seems to be angry .,tom looks be angry .,tom seems to be angry .,tom seems to be angry .
ningún hombre podría hacerlo .,no one man could do it .,no one could do it .,no may could possibly be .,i could do that man .,i could do that man .
un archivo mp es un archivo de audio .,an mp file is an audio file .,a fat lady is an imaginary creature of .,a fat lady is a imaginary creature of .,one beauty is sick .,one beauty is a real beauty .
tom y mary ambos trabajan para mí .,tom and mary both work for me .,tom and mary both expecting for me .,tom and mary both expecting for me .,tom and mary both understand each other .,tom and mary both understand each other .
yo comúnmente no miento .,i don t normally lie .,i have t eat .,i have t eat .,i don t trust either .,i don t trust either .
tengo derecho a ganarme la vida .,i have a right to make a living .,i feel right to life .,i have a little to life .,i have life insurance .,i have life insurance .
ven aquí a más tardar a las diez .,come here by ten at the latest .,come here to come in the summer .,come here to the water in ten .,come here at ten o clock .,come and have more than ten o clock here at ten o clock .
va a pasar algo . puedo sentirlo .,something s going to happen . i can feel it .,he is going to get something .,he goes going to me something . i can come .,i can ask him something .,i can ask him something .
tom limpió el armario en su dormitorio .,tom cleaned out his bedroom closet .,tom cleaned the closet on his room .,tom cleaned the closet on his room .,tom cleaned the room in his anger .,tom cleaned the room in his anger .
la pelota está inflada .,the balloon is filled with air .,the ball is ready .,the ball is ready .,the ball is empty .,the ball is empty .
dame tu sándwich .,give me your sandwich .,give me your present .,give me your present .,give me your final .,give me your final .
vamos a luchar .,we ll fight .,let s go .,let s go .,let s go fight .,let s go get fight .
mejor hubiera ido al concierto anoche .,i d rather have gone to the concert last night .,you had been to the concert last night .,you had better to the concert last night .,last night we had better go to the concert .,last night we had better go to the concert .
¿ a quién creen que engañan ?,who do they think they re kidding ?,who do you think that ?,who did you to get ?,who pays that ?,who pays that ?
ellos tendrían que moverse rápido .,they would have to move fast .,they ve said to be quickly .,they ve that to be quickly .,they consider suicide fast .,they consider suicide fast .
tom le dijo a mary que no lo esperara porque no llegaría a casa hasta muy tarde .,tom told mary not to wait up because he wouldn t be home until very late .,tom told mary not to say because he didn t want to be home .,tom told mary not to do not because he didn t home so late .,tom told mary not to go home because she wanted very late .,tom told mary not to go home because she wanted very late .
a tom le gusta el espagueti .,tom likes spaghetti .,tom likes the .,tom likes the .,tom likes the best .,tom likes the best .
nadie me ha matado aún .,nobody s killed me yet .,i ve ve been yet .,i ve been told me yet .,nobody has killed me yet .,nobody has killed me yet .
pensé que tú estabas a cargo .,i thought you were in charge .,i thought you were going in charge .,i thought you were going in charge .,i thought you were in charge .,i thought you were in charge .
es peligroso ir en moto sin casco .,it is dangerous to ride a motorbike without a helmet .,it is dangerous to go in that without helmet .,it is dangerous to go on the without helmet .,it s dangerous without a helmet .,it s dangerous without a helmet .
él la mantuvo cerca .,he held her close .,he kept close to the fence .,he kept close to the fence .,he held the fence .,he held the fence .
el niño volvió .,the boy came back .,the boy returned .,the boy returned .,the boy came back .,the boy came back .
tom solo toma café .,tom only drinks coffee .,tom uses coffee .,tom uses coffee .,tom just take coffee .,tom just take coffee .
si vas al cine llévate a tu hermana .,if you go to the movies take your sister with you .,if you ll go to the movies to your your sister .,if you go to the movies to the post your your sister .,if you go to the movies you ll find your sister .,if you go to the movies you ll find your sister .
había algunos niños en el cuarto .,there were a few children in the room .,there were some children left the the room .,there were some children tree growing the the room .,there were some children in the room .,there were some children in the room .
los soldados marcharon al frente .,the soldiers left for the front .,the soldiers were coming in front .,the soldiers were to front of .,the soldiers ahead .,the soldiers ahead .
tomás no quiere que sus padres se enteren .,tom doesn t want his parents to find out .,tom doesn t want his parents for his .,tom doesn t want his parents to be .,tom doesn t want his parents to sell .,tom doesn t want his parents to sell .
todavía tengo muchas preguntas que quiero hacerte .,i still have a lot of questions i want to ask you .,i still have a lot of questions i want to ask .,i still have a lot of questions i want to ask .,i still have plenty of questions .,i still have plenty of questions .
llevo puestas gafas de sol .,i m wearing sunglasses .,i ve been waiting for you .,i ve been waiting for you .,i ve worn out of the sun .,i ve worked hard in the sun .
ella iba bajando por las escaleras .,she was coming down the stairs .,she was mad at the stairs .,she was all by the stairs .,she was going on the stairs .,she was going on the stairs .
me dejaré ese libro para mí .,i ll keep that book for myself .,i m going that book for me .,i ll going that book for me .,i ll buy that book for me .,i ll buy that book for me .
es difícil hablar con él .,it s difficult to speak with him .,it is difficult to talk to him .,it s difficult to talk to him .,it is difficult to talk to him .,it is difficult to talk to him .
voy a echarme la siesta .,i m going to take a nap .,i m resigning on the table .,i m going to change the table .,i m going to find japanese .,i m going to find japanese .
la vida en el campo es más saludable que en la ciudad .,country life is healthier than city life .,life lives in the country is the city life .,life lives in the country is the city life .,the city in life is healthy .,the city life is healthy in city in city .
cuando mi hermano era pequeño solía llevarle al parque a menudo .,when my brother was young i often used to take him to the park .,when my brother was a used car when he was often .,when i brother was young he used to be a first .,my younger brother used to take small when i used to the park .,my younger brother used to take small when i used to the park .
no hacen más que llorar .,they do nothing but cry .,don t no more crying cry .,don t t cry cry .,don t do you cry .,don t think you cry .
él tiene miedo de nadar .,he is afraid to swim .,he is afraid to swim .,he is afraid to swim .,he is afraid of swim .,he has about swim .
éstos son buenos .,these are good .,these are good .,these are good .,these are good .,these are good .
usted está bajo arresto .,you are under arrest .,you are under arrest .,you are under arrest .,you re under arrest .,you re under arrest .
no os entiendo .,i don t understand you .,i don t understand .,i don t understand .,i don t understand you .,i don t understand you .
nací y crecí en tokio .,i was born and brought up in tokyo .,i was born and started in tokyo .,i was born and started in tokyo .,she was wearing and i was born in tokyo .,she was wearing and i was born in tokyo .
no les gusto a tus estudiantes .,your students don t like me .,don t like your students .,don t like your students .,don t get your students .,don t forget to your students .
¿ adónde te crees que se va todo el dinero ?,where do you think all the money goes ?,where do you think you re all the money ?,where do you think you re all the money ?,where do you think you re gone ?,where do you think you re take care ?
lo que quiero ahora es una taza de café caliente .,what i want now is a hot cup of coffee .,what i want now is a cup of hot coffee .,what i want now is a cup of hot .,what i want is a cup of coffee now .,what i want is a cup of coffee now .
mi tía lleva gafas cuando lee los documentos .,my aunt wears glasses when she reads the papers .,my aunt is wearing sunglasses when the papers .,my aunt is wearing glasses reading .,my aunt takes a dark .,my aunt takes a dark .
vivo en kazajistán .,i live in kazakhstan .,i live in trouble .,i live in trouble .,i live in mind .,i live in mind .
erigieron una estatua en memoria de gandhi .,they erected a statue in memory of gandhi .,i d rather an near by bus .,i d a an near by bus .,a heart attack .,a heart attack is on either masculine .
¿ amigo de quién eres ?,whose friend are you ?,does friend of you are ?,does friend of you are ?,who are you s a friend ?,who are you s a friend ?
tienes las manos aguadas .,you have butterfingers .,you have butterfingers .,you have butterfingers .,you have your hands .,you have butterfingers hands .
tu eres un especialito ¿ eh ?,you re picky aren t you ?,your you a a long student ?,your you a a student ?,are you a liar ?,are you a liar ?
él no dijo nada nuevo .,he didn t say anything new .,he didn t say anything new .,he didn t say anything new .,he didn t say anything new .,he did not say anything new .
tom no cree en la vida después de la muerte .,tom doesn t believe in life after death .,tom doesn t think the life after death .,tom doesn t think of the s death .,tom doesn t believe in the face .,tom doesn t think after the death .
no puedo oír lo que ellas dicen .,i can t hear what they re saying .,i can t hear what they say .,i can t hear what they say .,they say what they can t hear .,they say what they can t hear .
todos me preguntan eso siempre .,everyone always asks me that .,i m going to always that it .,i m going to always that it .,everyone always likes me .,everyone always try me .
